央视频道,#genre#
贵州卫视,http://221.216.132.178:8118/rtp/239.3.1.149:8076
天津卫视,http://221.216.132.178:8118/rtp/239.3.1.141:1234
河北卫视,http://221.216.132.178:8118/rtp/239.3.1.148:8072
重庆卫视,http://221.216.132.178:8118/rtp/239.3.1.122:8160
江西卫视,http://221.216.132.178:8118/rtp/239.3.1.123:8164
吉林卫视,http://221.216.132.178:8118/rtp/239.3.1.240:8172
南方卫视,http://221.216.132.178:8118/rtp/239.3.1.161:8001
广西卫视,http://221.216.132.178:8118/rtp/239.3.1.39:8300
海南卫视,http://221.216.132.178:8118/rtp/239.3.1.45:8304
厦门卫视,http://221.216.132.178:8118/rtp/239.3.1.143:4120
云南卫视,http://221.216.132.178:8118/rtp/239.3.1.26:8108
西藏卫视,http://221.216.132.178:8118/rtp/239.3.1.47:8164
四川卫视,http://221.216.132.178:8118/rtp/239.3.1.29:8288
河南卫视,http://221.216.132.178:8118/rtp/239.3.1.27:8128
陕西卫视,http://221.216.132.178:8118/rtp/239.3.1.41:8140
新疆卫视,http://221.216.132.178:8118/rtp/239.3.1.48:8160

